Date and Time,SKU,Name,Brand,Average Rating,Rating Count,Sponsored,Price,Sales Price,Express,Rank,Link
2024-12-21 13:07:59,Z1FFBA90CF03B4E1CDF5CZ,"MahMir Mahmir® EVA Foam Roller for Yoga, Deep Tissue Massage, Stretching, Physical Therapy, Relieve Stress, Improve Mobility with Foam Roller for Legs and Muscles - Deep Tissue Massage Tool (Light Blue) ",MahMir,3.4,3,Y,29.95,29.95,Y,440,/uae-en/mahmir-eva-foam-roller-for-yoga-deep-tissue-massage-stretching-physical-therapy-relieve-stress-improve-mobility-with-foam-roller-for-legs-and-muscles-deep-tissue-massage-tool-light-blue/Z1FFBA90CF03B4E1CDF5CZ/p/?o=z1ffba90cf03b4e1cdf5cz-1
2024-12-21 13:07:59,ZE94894E319EC24478F43Z,"Longchamp Longchamp women's large tote bag, handbag, shoulder bag black classic style ",Longchamp,0,0,Y,399.90,156.85,Y,441,/uae-en/longchamp-women-s-large-tote-bag-handbag-shoulder-bag-black-classic-style/ZE94894E319EC24478F43Z/p/?o=ze94894e319ec24478f43z-1
2024-12-21 13:07:59,Z549615CC1C4033D14D98Z,"NNEWVANTE Nnewvante Silk Sleep Mask, 2 Pack 100% Real Natural Pure Silk Eye Mask with Adjustable Strap, Eye Mask for Sleeping, Eye Sleep Shade Cover, Blocks Light Reduces Puffy Eyes Gifts ",NNEWVANTE,3.5,5,Y,35.95,23.90,Y,442,/uae-en/nnewvante-silk-sleep-mask-2-pack-100-real-natural-pure-silk-eye-mask-with-adjustable-strap-eye-mask-for-sleeping-eye-sleep-shade-cover-blocks-light-reduces-puffy-eyes-gifts/Z549615CC1C4033D14D98Z/p/?o=z549615cc1c4033d14d98z-1
2024-12-21 13:07:59,Z4B8BA26AFE9A630AA395Z,"Ayeeb Portable Foldable Yoga Travel Mat 1MM,100% Natural Portugal Cork Surface Eco-friendly Antimicrobial, Non-slip Rubber Reverse, Versatile use for Gym Pilates Fitness Workout Meditation Beach Swimming Pool Carpet floor, Best Gift to friends and families, Full Color Laser Pattern(Dream Catcher) ",Ayeeb,0,0,N,399,129,Y,443,/uae-en/portable-foldable-yoga-travel-mat-1mm-100-natural-portugal-cork-surface-eco-friendly-antimicrobial-non-slip-rubber-reverse-versatile-use-for-gym-pilates-fitness-workout-meditation-beach-swimming-pool-carpet-floor-best-gift-to-friends-and-families-ful/Z4B8BA26AFE9A630AA395Z/p/?o=z4b8ba26afe9a630aa395z-1
2024-12-21 13:07:59,Z64EE8D8F808FF4902AEDZ,"MahMir Mahmir EVA Foam Roller for Yoga, Deep Tissue Massage, Stretching, Physical Therapy, Relieve Stress, Improve Mobility with Foam Roller for Legs and Muscles - Deep Tissue Massage Tool (Black) ",MahMir,3.0,10,N,29.95,26.70,N,444,/uae-en/mahmir-eva-foam-roller-for-yoga-deep-tissue-massage-stretching-physical-therapy-relieve-stress-improve-mobility-with-foam-roller-for-legs-and-muscles-deep-tissue-massage-tool-black/Z64EE8D8F808FF4902AEDZ/p/?o=b582689b37574c0f
2024-12-21 13:07:59,Z3D591942C928706275A9Z,"Generic 6Pcs Cooling Towel, Ice Sports Towel, Cool Towel for Instant Cooling,for Yoga, Travel, Golf, Gym,Camping, Fitness, Running, Workout & More Activities (31.5""x11.8"") ",Generic,0,0,N,99.90,28.70,Y,445,/uae-en/6pcs-cooling-towel-ice-sports-towel-cool-towel-for-instant-cooling-for-yoga-travel-golf-gym-camping-fitness-running-workout-more-activities-31-5-x11-8/Z3D591942C928706275A9Z/p/?o=z3d591942c928706275a9z-1
2024-12-21 13:07:59,Z9BE175DFC702F5DF035AZ,Reebok Yoga Mat - 5Mm - Red ,Reebok,0,0,N,255,173,Y,446,/uae-en/yoga-mat-5mm-red/Z9BE175DFC702F5DF035AZ/p/?o=z9be175dfc702f5df035az-1
2024-12-21 13:07:59,Z549615CC1C4033D14D98Z,"NNEWVANTE Nnewvante Silk Sleep Mask, 2 Pack 100% Real Natural Pure Silk Eye Mask with Adjustable Strap, Eye Mask for Sleeping, Eye Sleep Shade Cover, Blocks Light Reduces Puffy Eyes Gifts ",NNEWVANTE,3.5,5,N,35.95,23.90,Y,447,/uae-en/nnewvante-silk-sleep-mask-2-pack-100-real-natural-pure-silk-eye-mask-with-adjustable-strap-eye-mask-for-sleeping-eye-sleep-shade-cover-blocks-light-reduces-puffy-eyes-gifts/Z549615CC1C4033D14D98Z/p/?o=z549615cc1c4033d14d98z-1
2024-12-21 13:07:59,Z24E1B5B4FDE8BB5C6111Z,"Bernessi 8MM Yoga Mat with Carrying Strap Anti-Slip for Home Workout Exercises Meditation Eco Friendly, Non Skid TPE Yoga Mattres for Pilates 183x61x0.8cm Thick, Pink/Black Color ",Bernessi,4.8,65,N,165,69.90,Y,448,/uae-en/8mm-yoga-mat-with-carrying-strap-anti-slip-for-home-workout-exercises-meditation-eco-friendly-non-skid-tpe-yoga-mattres-for-pilates-183x61x0-8cm-thick-pink-black-color/Z24E1B5B4FDE8BB5C6111Z/p/?o=z24e1b5b4fde8bb5c6111z-1
2024-12-21 13:07:59,Z3C8DAF40330507AC95A4Z,LACOSTE Lacoste Tote Bag Large Size Black Color ,LACOSTE,0,0,Y,299,152.75,Y,449,/uae-en/lacoste-tote-bag-large-size-black-color/Z3C8DAF40330507AC95A4Z/p/?o=z3c8daf40330507ac95a4z-1
2024-12-21 13:07:59,Z30868C98E61D2ABA2621Z,"MahMir Mahmir® EVA Foam Roller for Yoga, Deep Tissue Massage, Stretching, Physical Therapy, Relieve Stress, Improve Mobility with Foam Roller for Legs and Muscles - Deep Tissue Massage Tool (Pink) ",MahMir,4.0,8,Y,29.95,29.95,Y,450,/uae-en/mahmir-eva-foam-roller-for-yoga-deep-tissue-massage-stretching-physical-therapy-relieve-stress-improve-mobility-with-foam-roller-for-legs-and-muscles-deep-tissue-massage-tool-pink/Z30868C98E61D2ABA2621Z/p/?o=z30868c98e61d2aba2621z-1
2024-12-21 13:07:59,Z02D819D2E69D3C19F2C0Z,Adidas Training Mat - 10Mm - Red ,Adidas,0,0,N,195,132,Y,451,/uae-en/training-mat-10mm-red/Z02D819D2E69D3C19F2C0Z/p/?o=z02d819d2e69d3c19f2c0z-1
2024-12-21 13:07:59,N20034887A,Generic Pilates Fitness Circle Ring 38X38cm ,Generic,4.2,42,N,35.55,35.55,Y,452,/uae-en/pilates-fitness-circle-ring-38x38cm/N20034887A/p/?o=dff36db0f7f6e0fe
2024-12-21 13:07:59,N39265708A,SKY-TOUCH 5-In-1 Fitness Foam Roller Set 50cm ,SKY-TOUCH,4.8,32,N,63,63,Y,453,/uae-en/5-in-1-fitness-foam-roller-set-50cm/N39265708A/p/?o=d70ca1f8951305bc
2024-12-21 13:07:59,Z4F92579021C1CA25613BZ,Align-Pilates Align-Pilates Leg Extensions for R8-Pro Pilates Reformer ,Align-Pilates,0,0,Y,250,230,Y,454,/uae-en/align-pilates-leg-extensions-for-r8-pro-pilates-reformer/Z4F92579021C1CA25613BZ/p/?o=z4f92579021c1ca25613bz-1
2024-12-21 13:07:59,N16718791A,Pro Hanson Yoga Mat With Carry Strap ,Pro,4.4,534,N,35,33.75,Y,455,/uae-en/yoga-mat-with-carry-strap/N16718791A/p/?o=f25de7bd9fb95d5b
2024-12-21 13:07:59,Z8AA76A37502FFA504022Z,"RIOXS Sit-up Bar With Yoga Mat,Adjustable Push-up Bar With Non-slip Mat For Yoga Pilates Fitness,Portable Sit-up Equipment,Multifunction Abdominal Exercise,Floor Mounted Sit Up Device ",RIOXS,0,0,N,95,64.80,Y,456,/uae-en/sit-up-bar-with-yoga-mat-adjustable-push-up-bar-with-non-slip-mat-for-yoga-pilates-fitness-portable-sit-up-equipment-multifunction-abdominal-exercise-floor-mounted-sit-up-device/Z8AA76A37502FFA504022Z/p/?o=z8aa76a37502ffa504022z-1
2024-12-21 13:07:59,ZCB05C6600D34D93CCAD5Z,Made2Motivate Pack of 6 Portable Stability Balance Pods Foot Press Massager Yoga Kids Induction Trainer With Free Tote ,Made2Motivate,0,0,N,125,125,Y,457,/uae-en/pack-of-6-portable-stability-balance-pods-foot-press-massager-yoga-kids-induction-trainer-with-free-tote/ZCB05C6600D34D93CCAD5Z/p/?o=zcb05c6600d34d93ccad5z-1
2024-12-21 13:07:59,ZFC4F2BC1E9DC7B33305BZ,"Qiccijoo Qiccijoo Ankle Weights Set 1 Pair 4kg(8.8lb) Workout Ankle Weights for Women or Men Wrist Leg Weights for Fitness,Running,Walking,2*2kg(4.4lb) - Blue ",Qiccijoo,0,0,Y,89,89,Y,458,/uae-en/qiccijoo-ankle-weights-set-1-pair-4kg-8-8lb-workout-ankle-weights-for-women-or-men-wrist-leg-weights-for-fitness-running-walking-2-2kg-4-4lb-blue/ZFC4F2BC1E9DC7B33305BZ/p/?o=zfc4f2bc1e9dc7b33305bz-1
2024-12-21 13:07:59,Z212ACDF2F7760CD34A11Z,"Bernessi 8MM Yoga Mat with Carrying Strap Anti-Slip for Home Workout Exercises Meditation Eco Friendly, Non Skid TPE Yoga Mattres for Pilates 183x61x0.8cm Thick, Light Pink / Black Color ",Bernessi,5.0,4,N,180,61.25,Y,459,/uae-en/8mm-yoga-mat-with-carrying-strap-anti-slip-for-home-workout-exercises-meditation-eco-friendly-non-skid-tpe-yoga-mattres-for-pilates-183x61x0-8cm-thick-light-pink-black-color/Z212ACDF2F7760CD34A11Z/p/?o=z212acdf2f7760cd34a11z-1
2024-12-21 13:07:59,Z3C8FFE396E1C4B2EFA2DZ,Generic Pilates Yoga Bed Yoga Studio Pilates Core Bed Pilates Training Bed Strength Adjustment Stainless Steel Yoga Training Bed ,Generic,0,0,Y,"2,500","1,969",Y,460,/uae-en/pilates-yoga-bed-yoga-studio-pilates-core-bed-pilates-training-bed-strength-adjustment-stainless-steel-yoga-training-bed/Z3C8FFE396E1C4B2EFA2DZ/p/?o=z3c8ffe396e1c4b2efa2dz-1
2024-12-21 13:07:59,Z603FF8FD1BFB572D8D9FZ,"URbazaar Yoga Mat for Women and Men, Extra Long and Wide Exercise Mat(72""x24""), Large Non Slip Workout Mat for Yoga, Pilates, Fitness, Barefoot Workouts, Home Gym Studio ",URbazaar,4.7,3,Y,69.90,50.90,Y,461,/uae-en/yoga-mat-for-women-and-men-extra-long-and-wide-exercise-mat-72-x24-large-non-slip-workout-mat-for-yoga-pilates-fitness-barefoot-workouts-home-gym-studio/Z603FF8FD1BFB572D8D9FZ/p/?o=z603ff8fd1bfb572d8d9fz-1
2024-12-21 13:07:59,Z5364B7401B46DD83668DZ,Prickly Pear Prickly Pear Daydream Non-Slip Suede Top 1mm Travel Yoga Mat - Portable Yoga Mat for Travel ,Prickly,5.0,1,N,240,160,Y,462,/uae-en/prickly-pear-daydream-non-slip-suede-top-1mm-travel-yoga-mat-portable-yoga-mat-for-travel/Z5364B7401B46DD83668DZ/p/?o=z5364b7401b46dd83668dz-1
2024-12-21 13:07:59,Z24E1B5B4FDE8BB5C6111Z,"Bernessi 8MM Yoga Mat with Carrying Strap Anti-Slip for Home Workout Exercises Meditation Eco Friendly, Non Skid TPE Yoga Mattres for Pilates 183x61x0.8cm Thick, Pink/Black Color ",Bernessi,4.8,65,Y,165,69.90,Y,463,/uae-en/8mm-yoga-mat-with-carrying-strap-anti-slip-for-home-workout-exercises-meditation-eco-friendly-non-skid-tpe-yoga-mattres-for-pilates-183x61x0-8cm-thick-pink-black-color/Z24E1B5B4FDE8BB5C6111Z/p/?o=z24e1b5b4fde8bb5c6111z-1
